/*********************************************
 * OPL 12.10.0.0 Data
 * Author: Kinast
 * Creation date: Aug 17, 2021 at 11:47:25 AM
 *********************************************/

 nOrders = 50;
 nTasks = 600;

 nWorkgroups = 10;
 nWorkstations = 30;

 nCobots = 0;
 cobotTimeFactor = 0.7;

 workstations = {
 	< 0, "Workstation 0", 0, 1.01, 0.94, 1, 1 >,
 	< 1, "Workstation 1", 1, 1.03, 0.86, 1, 4 >,
 	< 2, "Workstation 2", 1, 1.24, 1.09, 1, 3 >,
 	< 3, "Workstation 3", 2, 0.76, 0.9, 1, 1 >,
 	< 4, "Workstation 4", 0, 0.78, 1.11, 1, 2 >,
 	< 5, "Workstation 5", 3, 1.17, 1.06, 1, 2 >,
 	< 6, "Workstation 6", 4, 1.06, 0.98, 1, 4 >,
 	< 7, "Workstation 7", 5, 0.79, 0.95, 1, 1 >,
 	< 8, "Workstation 8", 6, 1.05, 0.98, 1, 1 >,
 	< 9, "Workstation 9", 2, 1.1, 0.76, 1, 5 >,
 	< 10, "Workstation 10", 5, 1.19, 1.06, 1, 2 >,
 	< 11, "Workstation 11", 0, 1.21, 1.23, 1, 5 >,
 	< 12, "Workstation 12", 5, 1.2, 1.23, 1, 5 >,
 	< 13, "Workstation 13", 7, 0.77, 0.87, 1, 2 >,
 	< 14, "Workstation 14", 7, 0.88, 1.23, 1, 1 >,
 	< 15, "Workstation 15", 3, 1.17, 1.11, 1, 1 >,
 	< 16, "Workstation 16", 8, 1.22, 0.8, 1, 1 >,
 	< 17, "Workstation 17", 7, 0.93, 0.99, 1, 1 >,
 	< 18, "Workstation 18", 4, 0.99, 0.94, 1, 1 >,
 	< 19, "Workstation 19", 9, 0.94, 0.86, 1, 5 >,
 	< 20, "Workstation 20", 6, 0.88, 1.13, 1, 3 >,
 	< 21, "Workstation 21", 4, 1.24, 1.12, 1, 5 >,
 	< 22, "Workstation 22", 3, 1.19, 0.93, 1, 4 >,
 	< 23, "Workstation 23", 2, 0.92, 0.97, 1, 5 >,
 	< 24, "Workstation 24", 1, 1.24, 1.14, 1, 4 >,
 	< 25, "Workstation 25", 9, 1.21, 1.01, 1, 2 >,
 	< 26, "Workstation 26", 8, 1.11, 1.05, 1, 3 >,
 	< 27, "Workstation 27", 8, 0.96, 0.93, 1, 1 >,
 	< 28, "Workstation 28", 9, 1.09, 1.19, 1, 3 >,
 	< 29, "Workstation 29", 6, 1.04, 1.11, 1, 3 >
 };

 tasks = {
 	// order 0
 	< 0, 0, 9, 38, 58, 199, 0, -1 >,
 	< 1, 0, 1, 0, 0, 135, 6, 0 >,
 	< 2, 0, 6, 31, 49, 171, 1, 1 >,
 	< 3, 0, 4, 33, 0, 113, 3, 2 >,
